Year,Month,State,Residential Revenue (Thousand $),Commercial Revenue (Thousand $),Industrial Revenue (Thousand $),Transportation Revenue (Thousand $),Other                 Revenue (Thousand $),All Sectors        Revenue             (Thousand $),Residential Sales (MWh),Commercial Sales (MWh),Industrial Sales (MWh),Transportation Sales (MWh),Other           Sales  (MWh),All Sector    Sales (MWh),Average Retail Price Residential (c/kWh),Average Retail Price Commercial (c/kWh),Average Retail Price  Industrial (c/kWh),Average Retail Price Transportation (c/kWh),Average Retail Price           Other          (c/kWh),Average Retail Price              All Sectors (c/kWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,10,," 5,759,763 "," 4,953,604 "," 4,007,761 ", -   ," 499,100 "," 15,220,228 "," 69,256,478 "," 63,457,836 "," 81,404,686 ", -   ," 7,506,866 "," 221,625,878 ", 8.32 , 7.81 , 4.92 ,   , 6.65 , 6.87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,11,," 5,639,474 "," 4,494,037 "," 3,674,593 ", -   ," 478,863 "," 14,286,971 "," 70,906,273 "," 60,148,881 "," 78,353,372 ", -   ," 7,308,732 "," 216,717,257 ", 7.95 , 7.47 , 4.69 ,   , 6.55 , 6.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,12,," 6,394,190 "," 4,489,544 "," 3,590,421 ", -   ," 494,482 "," 14,968,638 "," 81,919,575 "," 61,522,713 "," 76,746,860 ", -   ," 7,636,450 "," 227,825,601 ", 7.81 , 7.30 , 4.68 ,   , 6.48 , 6.57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,US Total," 76,827,978 "," 57,655,247 "," 45,737,179 ", -   ," 6,138,291 "," 186,358,705 "," 955,417,354 "," 765,663,602 "," 946,583,391 ", -   ," 94,338,702 "," 2,762,003,050 ", 8.04 , 7.53 , 4.83 ,   , 6.51 , 6.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,1,," 7,040,577 "," 4,543,693 "," 3,609,960 ", -   ," 502,477 "," 15,696,712 "," 91,472,367 "," 62,207,647 "," 77,353,205 ", -   ," 7,668,775 "," 238,701,992 ", 7.70 , 7.30 , 4.67 ,   , 6.55 , 6.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,2,," 6,388,561 "," 4,406,155 "," 3,610,574 ", -   ," 478,301 "," 14,883,589 "," 82,166,086 "," 59,648,400 "," 76,894,482 ", -   ," 7,451,576 "," 226,160,547 ", 7.78 , 7.39 , 4.70 ,   , 6.42 , 6.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3,," 5,905,430 "," 4,414,731 "," 3,714,331 ", -   ," 489,244 "," 14,523,737 "," 73,753,733 "," 59,375,528 "," 79,310,535 ", -   ," 7,487,449 "," 219,927,249 ", 8.01 , 7.44 , 4.68 ,   , 6.53 , 6.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4,," 5,496,663 "," 4,300,522 "," 3,658,505 ", -   ," 478,919 "," 13,934,609 "," 68,450,124 "," 57,874,988 "," 78,216,442 ", -   ," 7,398,011 "," 211,939,567 ", 8.03 , 7.43 , 4.68 ,   , 6.47 , 6.57 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,5,," 5,431,696 "," 4,593,424 "," 3,832,820 ", -   ," 506,925 "," 14,364,868 "," 64,782,539 "," 60,380,159 "," 80,799,387 ", -   ," 7,723,780 "," 213,685,860 ", 8.38 , 7.61 , 4.74 ,   , 6.56 , 6.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,6,," 6,106,650 "," 5,132,729 "," 4,107,793 ", -   ," 546,334 "," 15,893,512 "," 70,906,637 "," 65,026,392 "," 83,496,283 ", -   ," 7,871,949 "," 227,301,266 ", 8.61 , 7.89 , 4.92 ,   , 6.94 , 6.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,7,," 7,580,956 "," 5,657,248 "," 4,347,733 ", -   ," 580,724 "," 18,166,658 "," 88,765,464 "," 71,211,088 "," 84,823,937 ", -   ," 8,354,300 "," 253,154,785 ", 8.54 , 7.94 , 5.13 ,   , 6.95 , 7.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,8,," 7,578,221 "," 5,615,458 "," 4,319,242 ", -   ," 577,228 "," 18,090,141 "," 88,505,744 "," 70,622,498 "," 85,703,755 ", -   ," 8,286,973 "," 253,118,975 ", 8.56 , 7.95 , 5.04 ,   , 6.97 , 7.15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,9,," 6,838,048 "," 5,452,448 "," 4,270,589 ", -   ," 583,940 "," 17,145,027 "," 79,592,966 "," 68,237,201 "," 83,877,169 ", -   ," 8,392,340 "," 240,099,683 ", 8.59 , 7.99 , 5.09 ,   , 6.96 , 7.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
